Timestamp,LineID,Parameter,GuideWord,Model,VectorStoreID,PromptTokens,CompletionTokens,TotalTokens,ResponseID,LatencySeconds
2026-05-08 05:28:11,NODE-01-DEC5-TOWER,Flow,No,gpt-5.5-2026-04-23,vs_69fcf0df8f288191b06045c0b780ac31,23669,10678,34347,resp_0cfcab9cbee35e4a0069fd11615ab0819ab2197242535450c4,154.9185
2026-05-08 05:30:11,NODE-01-DEC5-TOWER,Flow,More,gpt-5.5-2026-04-23,vs_69fcf0df8f288191b06045c0b780ac31,40147,10331,50478,resp_0af79e5311ba220f0069fd11fdc50081968ab50f2f9f40fe59,119.2905
2026-05-08 05:32:51,NODE-01-DEC5-TOWER,Flow,Less,gpt-5.5-2026-04-23,vs_69fcf0df8f288191b06045c0b780ac31,23927,9728,33655,resp_0b061a14f92807ed0069fd12752aec819aaeeee587a83d87db,158.9123
