Timestamp,LineID,Parameter,GuideWord,Model,VectorStoreID,PromptTokens,CompletionTokens,TotalTokens,ResponseID,LatencySeconds
2026-05-08 16:26:06,NODE-01-DEC5-TOWER,Pressure,More,gpt-5.5-2026-04-23,vs_69fcf0df8f288191b06045c0b780ac31,32262,9521,41783,resp_00b12b8d8b5fe5a50069fdab898a2c8194b8c4ff1b9880e7ee,166.1646
2026-05-08 16:28:58,NODE-01-DEC5-TOWER,Pressure,Less,gpt-5.5-2026-04-23,vs_69fcf0df8f288191b06045c0b780ac31,32631,9853,42484,resp_0aee372c293291ab0069fdac2fac10819988cfa6bb1cb9f18a,170.495
2026-05-08 16:31:53,NODE-01-DEC5-TOWER,Temperature,More,gpt-5.5-2026-04-23,vs_69fcf0df8f288191b06045c0b780ac31,31822,9975,41797,resp_0020348b8e878a820069fdacda4ca481939bfe22550807c3be,174.4193
2026-05-08 16:36:26,NODE-01-DEC5-TOWER,Temperature,Less,gpt-5.5-2026-04-23,vs_69fcf0df8f288191b06045c0b780ac31,23963,10857,34820,resp_0f385b15c68ffdf70069fdad89b938819a8b7ff6fe7aff9507,272.7257
2026-05-08 16:39:28,NODE-01-DEC5-TOWER,Level,More,gpt-5.5-2026-04-23,vs_69fcf0df8f288191b06045c0b780ac31,32266,10360,42626,resp_04edfc4f6f84ddd00069fdae9ae808819a95e8bed0f9fddefb,181.0507
2026-05-08 16:44:07,NODE-01-DEC5-TOWER,Level,Less,gpt-5.5-2026-04-23,vs_69fcf0df8f288191b06045c0b780ac31,23751,11360,35111,resp_088161a2fa37a5a30069fdaf50958081998fc685250876efac,278.3501
